Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6QQIrCmvdVKtm7fzqUzyit,"Esta tarde vi llover","Corazón","Siempre Asi",2015-10-09,142773,35,1134887912,2024-09-24T13:28:40Z,"pop flamenco,rumba","WM Spain",0.679,0.581,7,-5.555,1,0.0491,0.757,0,0.202,0.56,91.03,4
5dTHtzHFPyi8TlTtzoz1J9,"Helena","Three Cheers for Sweet Revenge","My Chemical Romance",2004-06-08,204733,78,1134887912,2024-09-24T13:28:40Z,"emo,modern rock,pop punk,pov: indie,rock","Reprise",0.356,0.96,4,-3.487,1,0.104,0.0142,0,0.209,0.0857,125.921,4
7anO7sUtjTwQ08y99oMxq2,"La Primerica Helá","RONEO FUNK CLUB","La Plazuela",2023-04-13,222461,49,1134887912,2024-09-24T13:28:40Z,"nuevo flamenco","Universal Music Spain S.L.",0.704,0.814,7,-6.383,1,0.0951,0.0124,0,0.0813,0.637,94.971,4
57f0ili5EzdZlEaSKcEg8p,"Tu Silueta","Tu Silueta","Diegote",2024-07-12,170480,78,1134887912,2024-09-24T13:28:40Z,"","DALE PLAY Records",0.718,0.769,8,-3.921,1,0.246,0.11,0,0.0778,0.543,103.903,4
5m5mcEXkAJUC7a8QEPxtNT,"Como El Agua - Tangos","Como El Agua (Remastered 2018)","Camaron De La Isla,Paco de Lucía,Tomatito",1981-09-26,220080,49,1134887912,2024-09-24T13:28:40Z,"cante flamenco,flamenco,pop flamenco,rumba,flamenco guitar","Universal Music Spain S.L.",0.441,0.901,7,-5.986,1,0.179,0.846,0.00081,0.14,0.69,161.157,4
0MN2EfM4BDyFaLgSWbf1Fq,"Matar la Pena","Matar la Pena","Besmaya,Malmö 040",2021-10-22,152553,60,1134887912,2024-09-24T13:28:40Z,"tontipop","Acqustic",0.704,0.684,7,-7.05,1,0.0602,0.161,0,0.464,0.695,145.018,4
0TkIQ2I48rz4kpk1XpfyHq,"Mi Luz (ft. Rels B)","NASTU","Rvfv,Rels B",2022-01-28,168000,76,1134887912,2024-09-24T13:28:40Z,"drill espanol,flamenco urbano,urbano espanol,urbano latino,r&b en espanol,spanish hip hop,trap latino","NASTU MUSIC",0.705,0.526,6,-6.359,1,0.327,0.509,0.000106,0.0742,0.671,200.031,4
3qRsF2ZQBBmOd1DjmhVXYj,"Destrozares","Destrozares, Canciones para el Final de los Tiempos","Robe",2016-11-18,195000,46,1134887912,2024-09-24T13:28:40Z,"indie extremena","El Dromedario Records",0.48,0.246,9,-13.215,1,0.0294,0.651,0.0000149,0.111,0.172,110.848,4
0aXPA5KAA2r0HzTRzRX8Fp,"Querré Lo Prohibido","Destrozares, Canciones para el Final de los Tiempos","Robe",2016-11-18,361000,40,1134887912,2024-09-24T13:28:40Z,"indie extremena","El Dromedario Records",0.422,0.461,6,-11.703,1,0.0476,0.434,0.0000145,0.103,0.334,138.07,4
26vkdWyOHx3rBY2zTb7f8I,"Viajando por el interior","Se nos lleva el aire","Robe",2023-12-15,415000,51,1134887912,2024-09-24T13:28:40Z,"indie extremena","El Dromedario Records",0.26,0.887,4,-4.695,0,0.109,0.0000556,0.44,0.0727,0.474,116.926,4
