Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Category
35,142.773,0.679,0.581,7,-5.555,1,0.0491,0.757,0.0,0.202,0.56,91.03,4,Favoritas
78,204.733,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,4,Favoritas
49,222.461,0.704,0.814,7,-6.383,1,0.0951,0.0124,0.0,0.0813,0.637,94.971,4,Favoritas
78,170.48,0.718,0.769,8,-3.921,1,0.246,0.11,0.0,0.0778,0.543,103.903,4,Favoritas
49,220.08,0.441,0.901,7,-5.986,1,0.179,0.846,0.00081,0.14,0.69,161.157,4,Favoritas
60,152.553,0.704,0.684,7,-7.05,1,0.0602,0.161,0.0,0.464,0.695,145.018,4,Favoritas
76,168.0,0.705,0.526,6,-6.359,1,0.327,0.509,0.000106,0.0742,0.671,200.031,4,Favoritas
46,195.0,0.48,0.246,9,-13.215,1,0.0294,0.651,1.49e-05,0.111,0.172,110.848,4,Favoritas
40,361.0,0.422,0.461,6,-11.703,1,0.0476,0.434,1.45e-05,0.103,0.334,138.07,4,Favoritas
51,415.0,0.26,0.887,4,-4.695,0,0.109,5.56e-05,0.44,0.0727,0.474,116.926,4,Favoritas
49,319.0,0.326,0.929,7,-6.005,1,0.121,0.00227,0.241,0.127,0.276,113.125,4,Favoritas
51,272.0,0.368,0.938,10,-5.28,1,0.0903,0.00492,0.00158,0.0784,0.376,128.486,4,Favoritas
50,200.344,0.405,0.942,10,-3.294,0,0.176,0.00066,1.39e-06,0.0593,0.272,91.747,4,Favoritas
34,200.533,0.641,0.955,4,-3.497,0,0.0599,0.0223,4.33e-05,0.345,0.64,111.956,4,Favoritas
41,167.12,0.445,0.964,9,-4.144,1,0.0934,0.0148,0.0,0.345,0.317,149.738,4,Favoritas
41,165.197,0.267,0.872,4,-3.784,1,0.0537,6.55e-06,1.64e-05,0.222,0.512,159.954,4,Favoritas
23,229.313,0.463,0.93,11,-4.541,1,0.0452,0.00919,0.405,0.101,0.784,157.002,4,Favoritas
48,201.084,0.795,0.814,3,-4.886,0,0.0378,0.0929,0.00058,0.091,0.84,94.988,4,Favoritas
62,221.293,0.545,0.797,10,-5.315,1,0.0252,0.257,3.86e-06,0.0884,0.852,100.464,4,Favoritas
55,257.106,0.522,0.715,9,-4.831,1,0.0342,0.0105,0.000827,0.311,0.316,129.999,4,Favoritas
63,484.573,0.246,0.693,1,-5.78,0,0.0344,0.0178,0.00759,0.0695,0.117,84.989,4,Favoritas
50,429.0,0.375,0.41,0,-11.108,0,0.0374,0.502,0.00111,0.11,0.278,116.924,3,Favoritas
45,241.059,0.674,0.699,9,-5.725,1,0.0813,0.05,0.0,0.0884,0.461,95.953,4,Favoritas
43,209.96,0.435,0.842,8,-7.585,0,0.357,0.735,0.0,0.164,0.658,97.787,4,Favoritas
43,227.266,0.842,0.55,10,-5.967,1,0.0598,0.185,1.12e-05,0.0887,0.691,107.987,4,Favoritas
43,186.933,0.419,0.884,5,-4.29,1,0.0494,0.00102,0.000112,0.267,0.63,134.973,3,Favoritas
44,130.766,0.815,0.608,6,-7.299,0,0.0847,0.0453,2.55e-05,0.116,0.144,109.059,4,Favoritas
71,192.906,0.665,0.544,10,-3.648,1,0.115,0.0129,0.0,0.0752,0.625,163.948,4,Favoritas
68,214.493,0.883,0.458,9,-6.801,0,0.0411,0.0401,0.000419,0.0603,0.816,91.425,4,Favoritas
65,169.373,0.705,0.634,5,-6.083,0,0.0282,0.0405,3.53e-05,0.349,0.639,98.008,4,Favoritas
42,336.0,0.516,0.635,4,-11.008,0,0.0654,0.159,4.26e-06,0.0881,0.247,142.877,4,Favoritas
21,201.0,0.421,0.131,0,-18.567,1,0.0427,0.948,0.755,0.091,0.43,119.736,4,Favoritas
29,231.333,0.652,0.566,0,-12.822,1,0.0597,0.339,0.0,0.105,0.656,102.359,4,Favoritas
63,354.64,0.587,0.493,0,-14.927,1,0.0505,0.423,0.712,0.0909,0.451,161.222,4,Favoritas
55,184.386,0.79,0.775,11,-5.042,1,0.0505,0.149,0.0,0.189,0.832,109.944,4,Favoritas
70,232.645,0.704,0.758,2,-5.9,0,0.0567,0.383,0.0,0.107,0.756,156.006,4,Favoritas
35,205.05,0.523,0.7,9,-6.169,1,0.0404,0.0169,0.0,0.0884,0.265,142.073,4,Favoritas
41,361.987,0.624,0.406,10,-6.193,0,0.0377,0.678,2.15e-06,0.0587,0.571,110.078,4,Favoritas
43,203.5,0.862,0.69,11,-8.081,1,0.311,0.16,0.0,0.0709,0.631,105.035,4,Favoritas
40,248.44,0.61,0.834,6,-7.737,1,0.445,0.681,0.0,0.624,0.9,92.159,4,Favoritas
15,213.0,0.431,0.898,7,-4.139,1,0.0625,0.471,1.93e-06,0.842,0.872,164.85,4,Favoritas
16,276.0,0.483,0.673,3,-5.304,0,0.0308,0.56,1.39e-05,0.119,0.525,91.94,4,Favoritas
15,254.0,0.387,0.639,9,-6.121,1,0.0788,0.479,0.0,0.196,0.63,155.691,4,Favoritas
15,183.0,0.702,0.452,9,-6.797,0,0.0383,0.711,0.0,0.256,0.567,129.804,4,Favoritas
79,208.135,0.847,0.637,7,-8.751,0,0.0587,0.201,0.201,0.121,0.0509,120.033,4,Favoritas
64,200.598,0.863,0.599,3,-7.268,0,0.105,0.137,0.00154,0.116,0.439,115.028,4,Favoritas
58,189.84,0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164,4,Favoritas
46,247.88,0.687,0.656,1,-4.998,1,0.0613,0.359,0.0,0.196,0.746,95.484,4,Favoritas
50,231.682,0.678,0.796,11,-6.256,0,0.246,0.387,0.0,0.19,0.841,100.007,4,Favoritas
50,188.75,0.75,0.565,9,-7.183,1,0.0611,0.484,0.0,0.248,0.67,95.979,4,Favoritas
51,230.482,0.708,0.75,7,-8.254,1,0.199,0.893,7.95e-05,0.18,0.963,107.692,4,Favoritas
31,210.426,0.787,0.597,1,-9.667,0,0.093,0.418,0.000555,0.085,0.913,92.485,4,Favoritas
50,227.133,0.782,0.474,3,-13.318,1,0.0575,0.456,0.000117,0.105,0.897,93.721,4,Favoritas
29,254.432,0.774,0.676,0,-6.861,1,0.046,0.219,0.00243,0.145,0.345,99.954,3,Favoritas
43,123.75,0.706,0.83,5,-5.752,0,0.201,0.0984,0.0,0.249,0.875,103.489,4,Favoritas
29,207.506,0.75,0.901,5,-5.671,0,0.111,0.239,0.0,0.343,0.71,116.797,4,Favoritas
11,188.92,0.593,0.742,7,-6.529,1,0.0498,0.0173,0.0,0.353,0.723,98.979,4,Favoritas
51,178.487,0.567,0.698,0,-5.27,1,0.0617,0.149,0.0,0.0842,0.523,88.888,4,Favoritas
62,220.346,0.445,0.769,10,-3.478,0,0.0476,0.0557,0.0,0.336,0.899,126.583,4,Favoritas
52,193.693,0.521,0.45,2,-7.339,1,0.0913,0.773,0.000348,0.115,0.58,81.376,4,Favoritas
55,174.453,0.401,0.902,5,-4.115,1,0.0469,7.32e-05,0.00465,0.261,0.57,136.873,4,Favoritas
62,174.013,0.353,0.866,2,-3.274,1,0.0392,3.03e-05,3e-05,0.295,0.544,165.215,4,Favoritas
46,429.96,0.829,0.432,5,-9.56,0,0.296,0.0722,0.00111,0.164,0.843,173.056,4,Favoritas
84,200.733,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,4,Favoritas
74,173.63,0.697,0.874,3,-4.473,1,0.0496,0.449,0.0144,0.0825,0.81,101.987,4,Favoritas
37,224.48,0.742,0.889,0,-4.64,0,0.176,0.103,0.0,0.228,0.926,110.006,4,Favoritas
28,131.272,0.556,0.912,7,-7.184,1,0.0366,0.129,0.943,0.348,0.932,165.047,4,Favoritas
