Album,count
Fitografía,41
All Star Smash Hits,19
Aviones,17
Sin Noticias De Holanda,16
Aproximaciones,16
Contra las cuerdas,15
Cremalleras,13
Polvora,13
La Miel de las Flores Muertas,13
Diciembre,12
Donde Nace el Infarto,12
Temerario,12
Entre Poetas y Presos,12
Que Te Vaya Bien,12
Explosiva,11
Así en el Cielo Como en la Selva,11
Rimas y Rock,11
Eureka!,11
El Lado de los Rebeldes,11
Sidecars,11
#Tócatealgoferran Vol.1,10
¿Quién Nos Va a Salvar?,10
Monstruos,10
La Primavera del Invierno,10
Animales,10
Aún Más Curiosa La Cara De Tu Padre,10
La Polla,10
Directo en Sdma,10
Game Over,10
Salvavida (de las Balas Perdidas),10
Niebla Y Hollín,10
La Teoría del Fuego,10
Boikotea!!! (Live),10
Las Dos Caras del Hilo,9
La Lengua de los Pájaros,9
El Madrileño,9
Nuclear,9
En Alma y Hueso (Versión Comentada),9
Se nos lleva el aire,9
Especies en extinción,9
