Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0Sfn2TYbpQtCGMBf6C0Y6T,"PLAYA DEL INGLÉS","DONDE QUIERO ESTAR","Quevedo,Myke Towers",2023-01-20,237525,72,,2023-11-29T12:16:00Z,"rap canario,trap latino,urbano latino,reggaeton","Quevedo",0.793,0.736,7,-3.254,0,0.0469,0.0822,0,0.109,0.656,112.993,4
4FAKtPVycI4DxoOHC01YqD,"Yandel 150","Resistencia","Yandel,Feid",2023-01-13,216148,74,,2023-11-29T12:16:00Z,"latin hip hop,reggaeton,trap latino,urbano latino,colombian pop,pop reggaeton,reggaeton colombiano","La Leyenda LLC",0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,4
6XbtvPmIpyCbjuT0e8cQtp,"Columbia","Columbia","Quevedo",2023-07-07,186000,83,,2023-11-29T12:16:00Z,"rap canario,trap latino,urbano latino","Quevedo",0.668,0.712,5,-5.927,1,0.0381,0.369,0.0000213,0.108,0.264,100.02,4
5KbBVSj6AJZ5662fO8EYFh,"El Merengue","Sugar Papi","Marshmello,Manuel Turizo",2023-11-03,189668,81,,2023-11-29T12:16:00Z,"brostep,edm,pop,progressive electro house,colombian pop,latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino","Sony Music Latin",0.777,0.774,8,-3.079,0,0.0553,0.0895,0.000401,0.0909,0.661,123.982,4
3tt9i3Hhzq84dPS8H7iSiJ,"La Bachata","2000","Manuel Turizo",2023-03-17,162637,85,,2023-11-29T12:16:00Z,"colombian pop,latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino","Sony Music Latin/La Industria",0.835,0.679,7,-5.329,0,0.0364,0.583,0.00000198,0.218,0.85,124.98,4
4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap,Shakira",2023-01-11,214945,77,,2023-11-29T12:16:00Z,"argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,colombian pop,dance pop,latin pop,pop","DALE PLAY Records",0.842,0.745,2,-4.231,0,0.0399,0.281,0.0000261,0.118,0.53,122.06,4
7ABLbnD53cQK00mhcaOUVG,"LALA","LA VIDA ES UNA","Myke Towers",2023-03-23,197920,85,,2023-11-29T12:16:00Z,"reggaeton,trap latino,urbano latino","WEA Latina",0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,4
609E1JCInJncactoMmkDon,"BESO","RR","ROSALÍA,Rauw Alejandro",2023-03-24,194543,78,,2023-11-29T12:16:00Z,"pop,r&b en espanol,puerto rican pop,reggaeton,trap latino,urbano latino","Columbia Records/Duars Entertainment/Sony Music Latin",0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,4
4WiQA1AGWHFvaxBU6bHghs,"PUNTO G","DONDE QUIERO ESTAR","Quevedo",2023-01-20,151324,76,,2023-11-29T12:16:00Z,"rap canario,trap latino,urbano latino","Quevedo",0.745,0.77,9,-3.653,1,0.14,0.218,0.00012,0.0504,0.629,92.044,4
20CozgjF6bshBw8cLhN23B,"Nochentera","Nochentera","Vicco",2022-12-19,202184,65,,2023-11-29T12:16:00Z,"","Sony Music Entertainment",0.802,0.728,8,-6.456,0,0.0533,0.0233,0,0.119,0.782,121.92,4
